,columns,total_test_windows,input_window,output_window,outlier_threshold,optimizer,cell_size,dropout,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,40,0.1,0.4033656297807241,0.37459843339195076,0.3765797420912686,0.36183289393930423
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,40,0.1,0.7821899381221415,0.3511208323088046,0.3601208554770192,0.34726582469602724
2,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,40,0.4,0.4536214809474406,0.3661242820312369,0.3661505401484077,0.36605182012118337
3,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,40,0.4,0.7833916240695902,0.34892614308102776,0.35550436733808005,0.3444611548572769
4,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,80,0.1,0.43971232129982946,0.3781642476663793,0.3817090194252164,0.3749336205015037
5,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,80,0.1,0.7963590709353421,0.342215061070368,0.34831541785032943,0.3373885039474617
6,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,80,0.4,0.3703775343332923,0.3393964084389967,0.3366499940218403,0.3283445941438836
7,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,80,0.4,0.7417810061877859,0.34797178915503313,0.35715474717321255,0.34324397549905833
8,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,120,0.1,0.33190314582637287,0.37524232559742954,0.3549747111781143,0.3131666556452685
9,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,120,0.1,0.7886646937494395,0.34168530242909007,0.35650607232535103,0.3388205272881381
10,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adamw,120,0.4,0.39330742583833017,0.3632364677370812,0.36756312978698075,0.35229010911741704
11,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adamw,120,0.4,0.7843960182943234,0.3461726723626324,0.35667448736052626,0.3399292113659647
12,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,40,0.1,0.4526367616803531,0.37071410076963024,0.38337465370264917,0.3549718940735865
13,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,40,0.1,0.798206438884405,0.34590900044895717,0.35563976084354976,0.3396073670031103
14,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,40,0.4,0.40837714747929454,0.41026081041690493,0.40910385220960427,0.36022759188943326
15,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,40,0.4,0.7774908079992826,0.36891602940980955,0.37178068700442135,0.3467030080650584
16,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,80,0.1,0.41393377762928835,0.41431410177239303,0.40858557975926146,0.35496277411110655
17,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,80,0.1,0.8098645861357726,0.35313687138706035,0.3649154744367837,0.3477107390869662
18,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,80,0.4,0.41825950869542283,0.3785981506676499,0.37911806220313665,0.36165105244593215
19,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,80,0.4,0.7979015334947538,0.36324622038399884,0.3580091135889059,0.3515319249900344
20,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,120,0.1,0.459195695370061,0.41499152195208105,0.4196521376905094,0.39928645365761
21,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,120,0.1,0.8058111380145279,0.35142262249968725,0.363088621620411,0.34875441721201456
22,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,adadelta,120,0.4,0.37814978283423306,0.416642094340067,0.38008907162841893,0.3404088193692354
23,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,adadelta,120,0.4,0.805380683346785,0.3469236518283329,0.35275648666692244,0.3395091330800146
24,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.1,0.5007121630413758,0.40360228799125847,0.4048795395691167,0.40395311856698707
25,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,40,0.1,0.8071563088512241,0.3667291423206604,0.36924426961428236,0.35692524835952577
26,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.4,0.42981237581107457,0.4027901442790924,0.4084301440670879,0.38752571618362514
27,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,40,0.4,0.7903506411980988,0.36282559331354247,0.37361492298237736,0.35051557123932514
28,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,80,0.1,0.4135820921767571,0.3913135695637094,0.3913366245888749,0.3774392275291229
