,total_windows,input_window,output_window,outlier_threshold,accuracy,precision,recall,f1
0,161498,8,8,0.75,0.805015479876161,0.7284011900080548,0.7190092300602431,0.7231271786440341
1,124197,24,8,0.75,0.8478260869565217,0.7646140580814885,0.7679676838027246,0.7662746885640611
2,100134,24,24,0.75,0.9088230888300793,0.8849807940783556,0.889388405908531,0.8870731188952945
3,91103,48,8,0.75,0.8783272048734976,0.7825322435256802,0.7775991998766544,0.7800197978434812
4,77235,48,24,0.75,0.923350812455493,0.8929993454627488,0.895331808169141,0.8941578036607063
5,179161,8,8,1.5,0.7946027404906092,0.7178000873108198,0.7154863783565976,0.7166077021522463
6,137341,24,8,1.5,0.8408751683716189,0.7593802654542022,0.7539271600604186,0.7565955031191778
7,110558,24,24,1.5,0.9046671490593343,0.8848388380805025,0.88546197918045,0.8851292469253433
8,100542,48,8,1.5,0.8718484260778756,0.7786834923730629,0.7767844231011746,0.7775423808435405
9,84910,48,24,1.5,0.9157931927923684,0.890195486808082,0.8871248905370995,0.8885651088239648
10,68870,48,48,1.5,0.9468563961086104,0.9328646637688895,0.9337874166962549,0.9333236753739161
11,64776,96,8,1.5,0.9092312442111763,0.7968661027685858,0.792474382288364,0.7946096168183244
12,201229,8,8,3,0.7776673458231874,0.7028578382743317,0.6961036363974299,0.6992636285647423
13,155219,24,8,3,0.8331722716144827,0.7517576293640871,0.7520766111176863,0.7516185883284967
14,125552,24,24,3,0.9035084226036398,0.8822501243041315,0.8821800999157322,0.8820922198883901
15,114421,48,8,3,0.8680358313305658,0.7739353650446459,0.7689067692072514,0.7713383152131982
16,97078,48,24,3,0.9163061392665842,0.8858487505000618,0.8895175900463346,0.8876587406951829
17,79137,48,48,3,0.9506570634318928,0.9382847813878942,0.9375977426717453,0.9379373966116603
18,74605,96,8,3,0.9071778030963072,0.8002947754064235,0.7807430599581292,0.789916056104009
19,327875,8,8,remove,0.8200686237133054,0.7066615593219886,0.6960312162211983,0.700878606522123
20,273290,24,8,remove,0.8605876541402905,0.738147433332408,0.742869896290912,0.7404472312905543
21,235083,24,24,remove,0.9186464470297977,0.874485319125894,0.8784571710543391,0.8763867778181978
22,220131,48,8,remove,0.8924523587798396,0.7571354256846973,0.7568231267134687,0.7568448751184067
23,195877,48,24,remove,0.9319991831733715,0.881989144528569,0.8843984070060519,0.8831319284125021
24,169235,48,48,remove,0.9563624545749992,0.9308015465456978,0.9283919386004099,0.9295685481353487
25,162173,96,8,remove,0.9324495144134423,0.7899275540037598,0.7907096232200033,0.7897159132510603
